class,precision,recall,f1-score,support
0,0.9838056680161943,0.9918367346938776,0.9878048780487805,980.0
1,0.9947043248014121,0.9929515418502203,0.9938271604938271,1135.0
2,0.9835748792270531,0.9864341085271318,0.9850024189646831,1032.0
3,0.9930139720558883,0.9851485148514851,0.989065606361829,1010.0
4,0.9958847736625515,0.9857433808553971,0.9907881269191402,982.0
5,0.9865470852017937,0.9865470852017937,0.9865470852017937,892.0
6,0.991578947368421,0.9832985386221295,0.9874213836477987,958.0
7,0.9835111542192047,0.9863813229571985,0.9849441476444876,1028.0
8,0.9825462012320328,0.9825462012320328,0.9825462012320328,974.0
9,0.9726295210166178,0.9861248761149654,0.9793307086614174,1009.0
