epoch,train_loss,valid_loss,train_accuracy,valid_accuracy
1,0.4988395959568024,0.3737786364555359,0.87318,0.8986
2,0.34450326143741605,0.34044769010543824,0.90358,0.905
3,0.3193612265777588,0.32547714495658875,0.91084,0.9088
4,0.30576514100551605,0.31808940682411196,0.9151,0.9081
5,0.2972672061729431,0.3122488236427307,0.91728,0.9123
6,0.29083647709846494,0.31006302781105044,0.91886,0.9128
7,0.2860076395130157,0.30522544536590573,0.9197,0.9142
8,0.28208968284606933,0.3035293767929077,0.92108,0.9144
9,0.2785894067287445,0.303165388917923,0.92242,0.9162
10,0.2756626233482361,0.30407828912734985,0.92308,0.916
