class,precision,recall,f1-score,support
0,0.958041958041958,0.9785714285714285,0.9681978798586572,980.0
1,0.9660574412532638,0.9779735682819384,0.9719789842381786,1135.0
2,0.9058597502401537,0.9137596899224806,0.9097925711529185,1032.0
3,0.8978599221789884,0.9138613861386139,0.9057899901864573,1010.0
4,0.9272540983606558,0.9215885947046843,0.9244126659856997,982.0
5,0.9215686274509803,0.8430493273542601,0.8805620608899297,892.0
6,0.9351851851851852,0.9488517745302714,0.9419689119170984,958.0
7,0.9247311827956989,0.9202334630350194,0.9224768405655778,1028.0
8,0.8752515090543259,0.893223819301848,0.8841463414634146,974.0
9,0.906,0.8979187314172448,0.9019412643106023,1009.0
